"","place_name","count","scale"
"1","United States",287,"country"
"2","Philippines",194,"country"
"3","New York",120,"city"
"4","Missouri",105,"state"
"5","Germany",76,"country"
"6","Washington DC",72,"state"
"7","Japan",58,"country"
"8","France",54,"country"
"9","Chicago",51,"city"
"10","China",51,"country"
"11","Mexico",43,"country"
"12","United Kingdom",42,"country"
"13","Kansas",39,"state"
"14","Texas",32,"state"
"15","Paris",30,"city"
"16","California",27,"state"
"17","Ireland",25,"country"
"18","Russia",25,"country"
"19","Brazil",22,"country"
"20","San Francisco",22,"city"
"21","Italy",20,"country"
"22","Ohio",20,"state"
"23","Canada",19,"country"
"24","London",19,"city"
"25","Cocopah",18,"native_group"
"26","Indiana",18,"state"
"27","New Orleans",18,"city"
"28","Austria-Hungary",15,"country"
"29","Netherlands",15,"country"
"30","Toronto",15,"city"
"31","Alaska",14,"state"
"32","Belgium",14,"country"
"33","Illinois",14,"state"
"34","Kentucky",14,"state"
"35","Boston",11,"city"
"36","Colorado",11,"state"
"37","Cuba",10,"country"
"38","Moqui",10,"native_group"
"39","Oklahoma",10,"state"
"40","Sioux",10,"native_group"
"41","Berlin",9,"city"
"42","Latin America",9,"continent"
"43","Virginia",9,"city"
"44","Africa",8,"continent"
"45","Europe",8,"continent"
"46","New Jersey",8,"state"
"47","Sweden",8,"country"
"48","Arkansas",7,"state"
"49","Jerusalem",7,"city"
"50","Philadelphia",7,"city"
"51","Utah",7,"state"
"52","Montana",6,"city"
"53","Pennsylvania",6,"state"
"54","Cincinnati",5,"city"
"55","Iowa",5,"state"
"56","Minneapolis",5,"city"
"57","Pittsburg",5,"city"
"58","Rome",5,"city"
"59","Spain",5,"country"
"60","Springfield",5,"city"
"61","Arizona",4,"city"
"62","Denver",4,"city"
"63","Georgia",4,"state"
"64","New Hampshire",4,"state"
"65","Louisville",4,"city"
"66","Maine",4,"state"
"67","Maryland",4,"state"
"68","Nevada",4,"state"
"69","Persia",4,"country"
"70","Syria",4,"country"
"71","Asia",3,"continent"
"72","Atlanta",3,"city"
"73","Connecticut",3,"state"
"74","Dallas",3,"city"
"75","Havana",3,"city"
"76","Houston",3,"city"
"77","Milwaukee",3,"city"
"78","Minnesota",3,"state"
"79","Mississippi",3,"state"
"80","Norway",3,"country"
"81","Oregon",3,"state"
"82","Pimaâ€“Maricopa",3,"native_group"
"83","Sacramento",3,"city"
"84","Vienna",3,"city"
"85","Alton",2,"city"
"86","Los Angeles",2,"city"
"87","Argentina",2,"country"
"88","Baltimore",2,"city"
"89","Birmingham",2,"city"
"90","Bridgeton",2,"city"
"91","Cairo",2,"city"
"92","Denmark",2,"country"
"93","Idaho",2,"state"
"94","Kwakiutl",2,"native_group"
"95","Inner Mongolia",2,"geo_region"
"96","Muscogee Nation",2,"native_group"
"97","Nashville",2,"city"
"98","Nicaragua",2,"country"
"99","Patagonia",2,"geo_region"
"100","Portugal",2,"country"
"101","Zimbabwe",2,"country"
"102","Richmond, KY",2,"city"
"103","Switzerland",2,"country"
"104","Venice",2,"city"
"105","Vermont",2,"state"
"106","Wisconsin",2,"state"
